@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-6628, -14453, -7677, -6716, -12589, -5854, -6995, -7357, -2081, 7023, -7383, -2038, 7565, -13512, -5912, 7891, -15280, -7502, Both_Hands_Down
-6641, -14599, -7763, -6710, -12810, -5946, -6995, -7409, -2050, 7047, -7399, -2053, 7578, -13534, -5959, 7897, -15319, -7553, Both_Hands_Down
-6686, -14642, -7728, -6759, -12823, -5911, -7015, -7445, -2025, 7083, -7412, -2092, 7576, -13503, -5990, 7896, -15358, -7618, Both_Hands_Down
-6700, -14663, -7654, -6770, -12846, -5889, -7027, -7466, -2014, 7093, -7424, -2109, 7577, -13517, -6043, 7885, -15363, -7681, Both_Hands_Down
-6742, -14795, -7545, -6797, -13037, -5782, -7040, -7518, -1885, 7166, -7489, -2213, 7637, -13501, -6110, 7918, -15425, -7850, Both_Hands_Down
-6765, -14857, -7487, -6784, -13137, -5759, -7053, -7535, -1843, 7214, -7515, -2265, 7659, -13492, -6167, 7923, -15450, -7951, Both_Hands_Down
-6763, -14865, -7452, -6755, -13086, -5677, -7044, -7538, -1806, 7204, -7506, -2352, 7650, -13487, -6224, 7902, -15432, -7979, Both_Hands_Down
-6766, -14885, -7434, -6747, -13085, -5652, -7043, -7550, -1774, 7234, -7532, -2359, 7661, -13455, -6220, 7912, -15414, -7996, Both_Hands_Down
-6774, -14915, -7424, -6727, -13091, -5641, -7023, -7569, -1755, 7286, -7541, -2377, 7683, -13453, -6231, 7935, -15423, -8014, Both_Hands_Down
-6781, -14957, -7397, -6721, -13118, -5643, -7000, -7594, -1727, 7333, -7552, -2394, 7712, -13448, -6251, 7969, -15417, -8041, Both_Hands_Down
-6750, -14965, -7321, -6689, -13143, -5625, -6933, -7639, -1684, 7366, -7545, -2434, 7739, -13423, -6258, 8011, -15395, -8059, Both_Hands_Down
-6693, -15000, -7226, -6542, -13365, -5635, -6881, -7701, -1663, 7402, -7539, -2464, 7774, -13421, -6269, 8052, -15397, -8073, Both_Hands_Down
-6556, -15016, -7097, -6408, -13600, -5685, -6831, -7728, -1645, 7414, -7519, -2507, 7788, -13385, -6277, 8065, -15356, -8082, Both_Hands_Down
-6533, -15050, -7051, -6367, -13641, -5665, -6793, -7744, -1619, 7426, -7504, -2514, 7787, -13349, -6275, 8060, -15316, -8079, Both_Hands_Down
-6511, -15061, -6993, -6345, -13627, -5634, -6768, -7759, -1597, 7427, -7505, -2532, 7799, -13324, -6285, 8068, -15292, -8086, Both_Hands_Down
-6525, -15045, -6918, -6549, -13114, -5189, -6756, -7767, -1574, 7435, -7510, -2542, 7802, -13301, -6291, 8073, -15273, -8091, Both_Hands_Down
