@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {@Left_Hand_Up, @Left_Hand_To_The_Left, @Left_Hand_To_The_Right, @Right_Hand_Up, @Right_Hand_To_The_Left, @Right_Hand_To_The_Right, @Both_Hands_Up, @Both_Hands_Down} 

@data 
-6659, 3117, -18437, -7267, 2221, -17285, -7729, 521, -10796, 3853, -7854, -298, 1516, -14331, -3616, 480, -16495, -4987, 
-6657, 3085, -18446, -7267, 2187, -17292, -7729, 488, -10801, 3855, -7898, -304, 1520, -14372, -3622, 478, -16539, -4997, 
-6650, 3083, -18425, -7254, 2189, -17285, -7709, 505, -10797, 3852, -7897, -305, 1443, -14349, -3656, 479, -16524, -4991, 
-6647, 3071, -18408, -7245, 2176, -17266, -7717, 476, -10789, 3851, -7910, -311, 1316, -14330, -3697, 483, -16522, -4984, 
-6652, 3065, -18401, -7249, 2169, -17257, -7733, 471, -10782, 3849, -7925, -316, 1291, -14338, -3711, 480, -16526, -4983, 
-6651, 3061, -18409, -7243, 2166, -17274, -7734, 476, -10790, 3865, -7946, -313, 1356, -14387, -3715, 488, -16551, -4980, 
-6648, 3060, -18400, -7239, 2165, -17262, -7747, 457, -10786, 3864, -7954, -314, 1345, -14383, -3708, 486, -16553, -4977, 
-6651, 3090, -18447, -7243, 2192, -17301, -7768, 473, -10804, 3891, -7971, -299, 1407, -14402, -3673, 497, -16595, -4973, 
-6652, 3104, -18477, -7239, 2209, -17344, -7762, 492, -10829, 3917, -7993, -288, 1430, -14437, -3665, 508, -16637, -4967, 
-6651, 3101, -18464, -7238, 2208, -17342, -7759, 481, -10831, 3916, -7997, -285, 1537, -14438, -3632, 508, -16636, -4959, 
-6640, 3099, -18440, -7224, 2208, -17331, -7741, 480, -10829, 3915, -7995, -281, 1510, -14431, -3633, 509, -16624, -4946, 
