@relation staticFaceGestures

@attribute BrowLower real 
@attribute BrowRaiser real 
@attribute JawLower real 
@attribute LipCornerDepressor real 
@attribute LipRaiser real 
@attribute LipStretcher real 
@attribute gesture {Neutral, Yawn, Sad, Happy, ReiseEyeBrows} 

@data 
188, -685, 1766, 3161, -2105, 1319, Neutral
-200, -1037, 1793, 2852, -2088, 519, Neutral
203, -1433, 1793, 2748, -2166, 1010, Neutral
-180, -597, 1512, 2446, -2097, 1712, Neutral
-453, -433, 1523, 2525, -1947, 834, Neutral
-786, -840, 1556, 2549, -1765, 1028, Neutral
-636, -655, 1422, 2527, -1689, 608, Neutral
-658, -1118, 1444, 2770, -1864, 1109, Neutral
-707, -1383, 1473, 2971, -1712, 808, Neutral
-630, -771, 1374, 1814, -1400, 880, Neutral
-350, -926, 1451, 2694, -1878, 803, Neutral
-97, -1227, 1644, 3158, -2258, 998, Neutral
-126, -1131, 1643, 2778, -2297, 1127, Neutral
-119, -954, 1643, 2332, -2476, 1354, Neutral
-119, -954, 1643, 2332, -2476, 1354, Neutral
-366, -901, 1460, 2368, -2354, 1110, Neutral
-398, -1463, 1729, 2715, -2536, 1432, Neutral
-365, -1740, 1950, 2546, -2657, 1802, Neutral
227, -1396, 2031, 2704, -2736, 1691, Neutral
108, -1228, 2046, 2678, -2653, 1291, Neutral
108, -1228, 2046, 2678, -2653, 1291, Neutral
156, -1475, 2036, 2675, -2586, 1749, Neutral
261, -997, 1783, 2587, -2561, 1695, Neutral
52, -723, 1588, 2561, -2140, 1837, Neutral
-453, -1111, 1471, 2329, -2194, 1414, Neutral
-616, -1526, 1604, 2584, -2033, 683, Neutral
-373, -1569, 1588, 3143, -2125, 584, Neutral
-216, -992, 1398, 3026, -2162, 928, Neutral
-616, -1264, 1375, 2846, -2182, 1131, Neutral
-512, -1742, 1629, 3286, -2203, 1430, Neutral
-579, -1980, 1863, 3141, -2618, 981, Neutral
-579, -1980, 1863, 3141, -2618, 981, Neutral
-70, -1488, 1794, 3108, -2847, 1204, Neutral
-237, -722, 1914, 2650, -3045, 375, Neutral
-237, -722, 1914, 2650, -3045, 375, Neutral
-206, -353, 1955, 2624, -3370, 430, Neutral
-63, -247, 2005, 2658, -3624, 464, Neutral
-150, -689, 1708, 3078, -3690, 172, Neutral
-241, -889, 1738, 2704, -3563, 1045, Neutral
-438, -826, 1579, 2398, -3396, 1423, Neutral
-555, -739, 1600, 2735, -3323, 467, Neutral
-28, -386, 1578, 2898, -3502, -81, Neutral
-243, -592, 1824, 2615, -3617, 535, Neutral
85, -928, 1909, 3619, -3716, 598, Neutral
-195, -906, 1924, 3111, -3834, 741, Neutral
-615, -588, 1782, 2743, -3312, 253, Neutral
