@relation staticBodyGestures

@attribute HandLeft_X real 
@attribute HandLeft_Y real 
@attribute HandLeft_Z real 
@attribute WristLeft_X real 
@attribute WristLeft_Y real 
@attribute WristLeft_Z real 
@attribute ElbowLeft_X real 
@attribute ElbowLeft_Y real 
@attribute ElbowLeft_Z real 
@attribute ElbowRight_X real 
@attribute ElbowRight_Y real 
@attribute ElbowRight_Z real 
@attribute WristRight_X real 
@attribute WristRight_Y real 
@attribute WristRight_Z real 
@attribute HandRight_X real 
@attribute HandRight_Y real 
@attribute HandRight_Z real 
@attribute gesture {Left_Hand_Up, Left_Hand_To_The_Left, Left_Hand_To_The_Right, Right_Hand_Up, Right_Hand_To_The_Left, Right_Hand_To_The_Right, Both_Hands_Up, Both_Hands_Down} 

@data 
-12066, 10386, -9935, -11612, 8826, -8532, -9912, 4955, -4496, 7850, -7975, -1627, 8452, -13385, -3238, 9094, -14798, -4206, @Left_Hand_Up
-12075, 10407, -9943, -11612, 8812, -8514, -9914, 4968, -4495, 7865, -7983, -1619, 8458, -13399, -3234, 9101, -14813, -4202, @Left_Hand_Up
-12089, 10433, -9953, -11620, 8834, -8514, -9927, 4975, -4494, 7893, -7987, -1613, 8466, -13415, -3226, 9110, -14831, -4195, @Left_Hand_Up
-12071, 10439, -9921, -11611, 8852, -8497, -9917, 4972, -4483, 7890, -7975, -1607, 8467, -13394, -3218, 9111, -14807, -4186, @Left_Hand_Up
-12083, 10457, -9905, -11628, 8863, -8484, -9924, 4973, -4478, 7896, -7976, -1604, 8483, -13399, -3216, 9128, -14814, -4184, @Left_Hand_Up
-12098, 10460, -9872, -11647, 8858, -8444, -9932, 4968, -4469, 7900, -7971, -1597, 8501, -13393, -3215, 9148, -14808, -4184, @Left_Hand_Up
-12077, 10421, -9782, -11631, 8850, -8389, -9917, 4946, -4432, 7850, -7947, -1594, 8436, -13344, -3203, 9079, -14751, -4167, @Left_Hand_Up
-12101, 10464, -9759, -11650, 8862, -8362, -9922, 4951, -4418, 7858, -7942, -1593, 8438, -13340, -3199, 9082, -14748, -4163, @Left_Hand_Up
-12110, 10464, -9725, -11661, 8884, -8352, -9933, 4954, -4396, 7859, -7940, -1592, 8452, -13335, -3204, 9096, -14742, -4168, @Left_Hand_Up
-12115, 10495, -9701, -11664, 8909, -8339, -9934, 4958, -4383, 7866, -7934, -1592, 8456, -13327, -3207, 9099, -14734, -4170, @Left_Hand_Up
-12077, 10277, -9667, -11626, 8704, -8322, -9915, 4776, -4405, 7648, -7793, -1624, 8278, -13129, -3209, 8915, -14522, -4162, @Left_Hand_Up
-12057, 10227, -9626, -11611, 8679, -8300, -9905, 4747, -4395, 7606, -7762, -1629, 8243, -13115, -3223, 8878, -14504, -4174, @Left_Hand_Up
-12074, 10340, -9619, -11631, 8801, -8308, -9915, 4839, -4377, 7721, -7821, -1620, 8340, -13167, -3222, 8979, -14562, -4178, @Left_Hand_Up
-12104, 10451, -9626, -11659, 8891, -8318, -9933, 4899, -4362, 7805, -7860, -1612, 8415, -13228, -3227, 9057, -14630, -4187, @Left_Hand_Up
-12097, 10464, -9603, -11655, 8917, -8306, -9929, 4919, -4350, 7832, -7860, -1611, 8432, -13231, -3225, 9074, -14633, -4185, @Left_Hand_Up
-12105, 10493, -9591, -11659, 8939, -8289, -9931, 4929, -4339, 7840, -7867, -1599, 8442, -13235, -3226, 9084, -14637, -4186, @Left_Hand_Up
-12105, 10515, -9574, -11658, 8957, -8275, -9931, 4939, -4328, 7847, -7869, -1598, 8434, -13241, -3217, 9076, -14643, -4177, @Left_Hand_Up
-12114, 10541, -9574, -11663, 8977, -8274, -9924, 4969, -4321, 7861, -7878, -1594, 8456, -13253, -3220, 9099, -14656, -4180, @Left_Hand_Up
-12115, 10550, -9566, -11669, 8992, -8273, -9926, 4981, -4314, 7872, -7882, -1593, 8466, -13262, -3216, 9110, -14666, -4177, @Left_Hand_Up
-12116, 10553, -9560, -11673, 9006, -8275, -9927, 4990, -4310, 7877, -7885, -1594, 8473, -13266, -3218, 9117, -14670, -4180, @Left_Hand_Up
-12115, 10578, -9565, -11672, 9021, -8274, -9927, 5000, -4307, 7887, -7887, -1595, 8478, -13270, -3223, 9122, -14676, -4185, @Left_Hand_Up
-12100, 10558, -9545, -11659, 9016, -8261, -9918, 4994, -4299, 7867, -7880, -1597, 8475, -13249, -3228, 9118, -14651, -4188, @Left_Hand_Up
-12091, 10541, -9533, -11652, 9008, -8256, -9911, 4991, -4292, 7851, -7873, -1599, 8460, -13232, -3241, 9102, -14632, -4199, @Left_Hand_Up
-12090, 10553, -9536, -11648, 9005, -8254, -9907, 4993, -4287, 7850, -7870, -1602, 8484, -13220, -3254, 9126, -14620, -4213, @Left_Hand_Up
-12092, 10551, -9527, -11652, 9012, -8252, -9910, 4997, -4283, 7860, -7870, -1603, 8527, -13211, -3280, 9169, -14611, -4238, @Left_Hand_Up
-12085, 10542, -9514, -11646, 8973, -8205, -9906, 4997, -4280, 7864, -7866, -1604, 8531, -13205, -3281, 9173, -14605, -4239, @Left_Hand_Up
-12079, 10549, -9508, -11636, 8977, -8199, -9902, 4997, -4279, 7871, -7864, -1604, 8536, -13202, -3278, 9178, -14601, -4235, @Left_Hand_Up
-12059, 10528, -9480, -11614, 8972, -8182, -9890, 5000, -4273, 7873, -7859, -1594, 8535, -13189, -3272, 9175, -14585, -4229, @Left_Hand_Up
-12060, 10526, -9466, -11614, 8979, -8175, -9893, 5001, -4264, 7878, -7857, -1592, 8544, -13184, -3277, 9184, -14581, -4233, @Left_Hand_Up
-12062, 10522, -9452, -11616, 8982, -8165, -9895, 5000, -4257, 7876, -7856, -1592, 8546, -13180, -3279, 9186, -14577, -4235, @Left_Hand_Up
-12054, 10388, -9460, -11609, 8864, -8180, -9897, 4889, -4294, 7760, -7780, -1613, 8456, -13174, -3286, 9094, -14565, -4239, @Left_Hand_Up
-12061, 10444, -9453, -11615, 8924, -8170, -9900, 4937, -4277, 7813, -7808, -1608, 8481, -13187, -3277, 9120, -14581, -4232, @Left_Hand_Up
-12079, 10503, -9471, -11635, 8981, -8187, -9897, 4993, -4278, 7873, -7828, -1615, 8527, -13207, -3283, 9169, -14606, -4241, @Left_Hand_Up
-9498, 11998, -7902, -9045, 10682, -6866, -8310, 6197, -3751, 8350, -7593, -1518, 9395, -13393, -3680, 9551, -15559, -4569, @Left_Hand_Up
-9469, 11988, -7898, -9011, 10678, -6860, -8289, 6192, -3746, 8346, -7595, -1513, 9395, -13505, -3726, 9512, -15675, -4609, @Left_Hand_Up
-9438, 11979, -7895, -8979, 10673, -6853, -8266, 6187, -3745, 8338, -7594, -1511, 9386, -13434, -3680, 9484, -15602, -4566, @Left_Hand_Up
-9435, 12004, -7906, -8968, 10703, -6861, -8252, 6214, -3759, 8335, -7601, -1508, 9385, -13506, -3710, 9455, -15674, -4598, @Left_Hand_Up
-9427, 12012, -7920, -8944, 10720, -6867, -8258, 6216, -3764, 8356, -7609, -1507, 9399, -13585, -3729, 9480, -15755, -4622, @Left_Hand_Up
-9400, 12031, -7933, -8923, 10734, -6879, -8261, 6218, -3769, 8358, -7629, -1507, 9401, -13544, -3692, 9489, -15714, -4596, @Left_Hand_Up
-9359, 12034, -7942, -8887, 10736, -6885, -8237, 6216, -3773, 8352, -7637, -1506, 9407, -13595, -3705, 9586, -15766, -4595, @Left_Hand_Up
-9274, 12007, -7929, -8801, 10716, -6868, -8201, 6190, -3769, 8328, -7638, -1509, 9378, -13557, -3684, 9676, -15704, -4593, @Left_Hand_Up
-9194, 12018, -7923, -8719, 10730, -6860, -8129, 6207, -3757, 8327, -7646, -1508, 9364, -13592, -3688, 9536, -15753, -4594, @Left_Hand_Up
-9041, 12055, -7913, -8553, 10778, -6844, -8015, 6239, -3765, 8323, -7655, -1505, 9382, -13736, -3743, 9532, -15897, -4647, @Left_Hand_Up
-8718, 12210, -7860, -8254, 10917, -6808, -7846, 6340, -3803, 8305, -7668, -1490, 9372, -13689, -3699, 9512, -15842, -4606, @Left_Hand_Up
-8261, 12209, -7718, -7832, 10894, -6687, -7725, 6259, -3779, 8230, -7669, -1487, 9335, -13810, -3720, 10046, -15423, -4487, @Left_Hand_Up
-7908, 12273, -7621, -7485, 10942, -6605, -7521, 6294, -3711, 8234, -7742, -1459, 9348, -13777, -3622, 9349, -15940, -4506, @Left_Hand_Up
-7680, 12316, -7652, -7320, 10940, -6664, -7357, 6301, -3728, 8179, -7755, -1458, 9373, -13920, -3618, 9400, -16078, -4528, @Left_Hand_Up
-7514, 12619, -7753, -7170, 11218, -6790, -7185, 6573, -3840, 8206, -7807, -1434, 9434, -14043, -3602, 9613, -16188, -4537, @Left_Hand_Up
-7407, 13173, -7982, -7074, 11749, -7045, -7097, 7061, -4160, 8203, -7836, -1425, 9448, -14196, -3633, 10227, -15815, -4521, @Left_Hand_Up
-7361, 13091, -7919, -7023, 11665, -6992, -7061, 6980, -4116, 8184, -7852, -1412, 9426, -14252, -3630, 10206, -15822, -4505, @Left_Hand_Up
-7375, 12840, -7850, -7033, 11412, -6920, -7072, 6727, -4014, 8186, -7844, -1427, 9463, -14369, -3691, 10233, -15903, -4549, @Left_Hand_Up
-7352, 12632, -7763, -7018, 11209, -6843, -7081, 6549, -3961, 8107, -7800, -1415, 9360, -14287, -3655, 10130, -15750, -4467, @Left_Hand_Up
-7316, 12652, -7683, -6988, 11223, -6770, -7063, 6566, -3888, 8161, -7835, -1395, 9374, -14263, -3634, 10147, -15701, -4429, @Left_Hand_Up
-7325, 12441, -7641, -6993, 11021, -6734, -7080, 6387, -3871, 8050, -7775, -1401, 9268, -14214, -3620, 10041, -15660, -4410, @Left_Hand_Up
-7320, 12421, -7636, -6984, 11006, -6728, -7074, 6381, -3868, 8030, -7764, -1399, 9245, -14219, -3624, 10028, -15670, -4412, @Left_Hand_Up
-7301, 12407, -7566, -6961, 10997, -6660, -7047, 6384, -3800, 8053, -7787, -1385, 9232, -14158, -3596, 10016, -15597, -4381, @Left_Hand_Up
-7315, 12261, -7548, -6975, 10851, -6642, -7077, 6243, -3784, 8004, -7755, -1395, 9201, -14219, -3633, 9992, -15646, -4414, @Left_Hand_Up
-7317, 12160, -7507, -6979, 10752, -6603, -7094, 6146, -3748, 7950, -7766, -1383, 9179, -14092, -3560, 9989, -15491, -4341, @Left_Hand_Up
-7328, 12148, -7505, -6988, 10739, -6598, -7100, 6126, -3743, 7940, -7776, -1378, 9219, -14151, -3592, 9919, -15602, -4384, @Left_Hand_Up
-7336, 12131, -7498, -6998, 10719, -6595, -7109, 6107, -3741, 7952, -7760, -1376, 9219, -14091, -3563, 9944, -15638, -4399, @Left_Hand_Up
-7350, 12069, -7472, -7011, 10659, -6571, -7121, 6052, -3723, 7921, -7742, -1380, 9206, -14074, -3586, 9864, -15643, -4409, @Left_Hand_Up
-7361, 12044, -7471, -7015, 10640, -6567, -7127, 6037, -3725, 7901, -7736, -1382, 9183, -13992, -3554, 9817, -15666, -4419, @Left_Hand_Up
-7325, 11995, -7372, -6976, 10607, -6473, -7094, 6044, -3663, 7891, -7731, -1371, 9068, -13805, -3510, 9716, -15766, -4488, @Left_Hand_Up
-7348, 12008, -7387, -6988, 10626, -6478, -7101, 6052, -3663, 7921, -7738, -1372, 9086, -13775, -3474, 9832, -15699, -4466, @Left_Hand_Up
-7363, 12027, -7347, -6991, 10655, -6431, -7101, 6084, -3622, 7961, -7763, -1362, 9093, -13806, -3496, 9766, -15577, -4402, @Left_Hand_Up
-7412, 11995, -7369, -7028, 10627, -6445, -7134, 6043, -3635, 7958, -7750, -1366, 9111, -13891, -3522, 9182, -15973, -4479, @Left_Hand_Up
-9655, 12144, -8322, -9217, 10807, -7265, -8441, 6214, -4094, 7760, -7989, -1321, 9114, -14382, -3547, 8316, -15900, -3943, @Left_Hand_Up
-9651, 12113, -8310, -9208, 10784, -7250, -8433, 6194, -4089, 7743, -7965, -1326, 9099, -14393, -3555, 8285, -15902, -3943, @Left_Hand_Up
-9651, 12178, -8301, -9203, 10850, -7234, -8425, 6248, -4070, 7769, -8013, -1313, 9139, -14389, -3539, 8317, -15898, -3925, @Left_Hand_Up
-9650, 12220, -8301, -9198, 10893, -7231, -8420, 6281, -4068, 7788, -8036, -1310, 9164, -14395, -3536, 8336, -15903, -3922, @Left_Hand_Up
-9641, 12164, -8286, -9190, 10843, -7219, -8408, 6250, -4065, 7737, -8009, -1301, 9108, -14365, -3530, 8272, -15863, -3908, @Left_Hand_Up
-9639, 12182, -8280, -9184, 10864, -7212, -8399, 6272, -4059, 7746, -8024, -1296, 9116, -14356, -3525, 8278, -15851, -3909, @Left_Hand_Up
-9659, 12271, -8311, -9194, 10953, -7232, -8409, 6332, -4064, 7814, -8072, -1293, 9203, -14414, -3525, 8360, -15916, -3916, @Left_Hand_Up
-9648, 12248, -8289, -9183, 10933, -7212, -8400, 6322, -4051, 7792, -8064, -1285, 9181, -14392, -3517, 9038, -16582, -4448, @Left_Hand_Up
-9651, 12149, -8294, -9187, 10837, -7220, -8406, 6238, -4069, 7756, -7992, -1293, 9119, -14421, -3536, 8235, -15889, -3927, @Left_Hand_Up
-9621, 12106, -8239, -9158, 10803, -7170, -8380, 6229, -4035, 7751, -7968, -1311, 9050, -14320, -3509, 8172, -15784, -3886, @Left_Hand_Up
-9620, 12077, -8236, -9157, 10775, -7168, -8379, 6205, -4036, 7681, -7976, -1296, 9032, -14331, -3511, 8131, -15787, -3852, @Left_Hand_Up
-9597, 12138, -8204, -9135, 10836, -7138, -8357, 6266, -4009, 7819, -7971, -1304, 9054, -14275, -3491, 8148, -15728, -3829, @Left_Hand_Up
-9602, 12037, -8219, -9142, 10735, -7158, -8365, 6176, -4037, 7670, -7945, -1303, 9006, -14317, -3523, 8103, -15767, -3860, @Left_Hand_Up
-9603, 12114, -8220, -9143, 10807, -7158, -8364, 6234, -4030, 7705, -7991, -1293, 9058, -14318, -3515, 8922, -16482, -4450, @Left_Hand_Up
-9605, 12171, -8217, -9147, 10855, -7158, -8368, 6269, -4024, 7741, -8011, -1303, 9097, -14338, -3510, 8938, -16509, -4442, @Left_Hand_Up
-9595, 12092, -8214, -9140, 10779, -7158, -8363, 6204, -4032, 7781, -7928, -1318, 9062, -14354, -3526, 8211, -15832, -3901, @Left_Hand_Up
-9593, 12081, -8214, -9142, 10764, -7163, -8370, 6189, -4041, 7755, -7914, -1318, 9058, -14373, -3540, 8597, -16530, -4381, @Left_Hand_Up
-9578, 12054, -8198, -9129, 10738, -7149, -8362, 6169, -4038, 7762, -7881, -1323, 9034, -14362, -3549, 8506, -16522, -4330, @Left_Hand_Up
-9576, 12063, -8198, -9125, 10746, -7150, -8361, 6173, -4037, 7683, -7910, -1316, 9043, -14388, -3560, 8260, -15896, -3947, @Left_Hand_Up
-9570, 12047, -8182, -9102, 10748, -7119, -8352, 6165, -4022, 7630, -7924, -1317, 9038, -14395, -3565, 8209, -15885, -3922, @Left_Hand_Up
-9568, 12090, -8180, -9097, 10794, -7116, -8344, 6212, -4015, 7734, -7893, -1341, 9041, -14384, -3560, 8222, -16406, -4051, @Left_Hand_Up
-9568, 12160, -8181, -9091, 10865, -7111, -8332, 6271, -4003, 7691, -7980, -1318, 9092, -14376, -3549, 8431, -16540, -4231, @Left_Hand_Up
-9587, 12291, -8208, -9101, 10990, -7128, -8333, 6363, -4000, 7801, -8045, -1307, 9204, -14430, -3555, 8498, -16054, -4028, @Left_Hand_Up
-9595, 12336, -8216, -9102, 11036, -7131, -8332, 6395, -4000, 7822, -8072, -1303, 9246, -14450, -3558, 8756, -16645, -4353, @Left_Hand_Up
-9581, 12208, -8188, -9094, 10908, -7117, -8329, 6292, -4006, 7839, -7950, -1315, 9145, -14428, -3571, 8999, -16620, -4464, @Left_Hand_Up
-9575, 12161, -8179, -9089, 10863, -7109, -8327, 6249, -4005, 7821, -7918, -1322, 9119, -14447, -3585, 8149, -15884, -3829, @Left_Hand_Up
-9568, 12165, -8180, -9084, 10868, -7112, -8326, 6256, -4016, 7801, -7905, -1325, 9096, -14447, -3595, 8138, -15888, -3850, @Left_Hand_Up
-9560, 12177, -8174, -9078, 10876, -7107, -8324, 6255, -4010, 7813, -7910, -1327, 9111, -14466, -3602, 8244, -15954, -3915, @Left_Hand_Up
-9542, 12132, -8155, -9058, 10836, -7087, -8312, 6220, -4007, 7694, -7925, -1313, 9078, -14448, -3608, 8277, -16663, -3796, @Left_Hand_Up
-9529, 12117, -8143, -9043, 10826, -7074, -8308, 6204, -4006, 7727, -7895, -1323, 9074, -14446, -3612, 8298, -15980, -3914, @Left_Hand_Up
